Subject,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
MS Office Fundamentals,What is Microsoft Office?,A software suite,A single program,A hardware device,An operating system,A
MS Office Fundamentals,Which application is used for word processing?,MS Word,MS Excel,MS PowerPoint,MS Access,A
MS Office Fundamentals,Which application is used for spreadsheets?,MS Word,MS Excel,MS PowerPoint,MS Outlook,B
MS Office Fundamentals,Which application is used for presentations?,MS Word,MS Excel,MS PowerPoint,MS Access,C
MS Office Fundamentals,Which application is used for email?,MS Outlook,MS Excel,MS Word,MS Access,A
Computer Basics,What does RAM stand for?,Random Access Memory,Read Access Memory,Ready Access Memory,Rapid Access Machine,A
Computer Basics,Which key saves a document?,Ctrl+S,Ctrl+P,Ctrl+N,Ctrl+X,A
Computer Basics,Which key copies selected text?,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,A
Computer Basics,Which key pastes copied text?,Ctrl+V,Ctrl+C,Ctrl+X,Ctrl+Z,A
Computer Basics,Which file extension is for Word documents?,.xlsx,.pptx,.docx,.jpg,C
File Management,Which folder stores deleted files in Windows?,Documents,Recycle Bin,Downloads,Desktop,B
File Management,Which shortcut renames a file in Windows?,F1,F2,F3,F4,B
File Management,Which shortcut creates a new folder in Windows?,Ctrl+N,Ctrl+Shift+N,Ctrl+F,Ctrl+M,B
File Management,Which option shows file details?,List view,Details view,Large icons,Tiles,B
File Management,Which drive letter is usually the system drive?,C:,D:,E:,F:,A
MS Word Basics,Which tab contains basic text formatting?,Home,Insert,Layout,Review,A
MS Word Basics,Which shortcut makes text bold?,Ctrl+B,Ctrl+I,Ctrl+U,Ctrl+P,A
MS Word Basics,Which shortcut makes text italic?,Ctrl+B,Ctrl+I,Ctrl+U,Ctrl+P,B
MS Word Basics,Which shortcut underlines text?,Ctrl+B,Ctrl+I,Ctrl+U,Ctrl+P,C
MS Word Basics,What does font size change?,Text color,Text size,Line spacing,Page size,B
MS Word Page Setup,Which option changes page orientation?,Margins,Orientation,Columns,Indent,B
MS Word Page Setup,Which option changes page size?,Size,Spacing,Styles,Review,A
MS Word Page Setup,Which option changes margins?,Margins,Orientation,Columns,Indent,A
MS Word Page Setup,Which view shows the print layout?,Draft,Print Layout,Web Layout,Outline,B
MS Word Tables,Which tab is used to insert a table?,Home,Insert,Layout,Review,B
MS Word Tables,What does Merge Cells do?,Splits a cell,Joins cells,Deletes a row,Adds a column,B
MS Word Tables,What does Split Table do?,Joins tables,Splits one table,Deletes a column,Adds a row,B
MS Word Images,Which tab inserts a picture?,Home,Insert,Layout,References,B
MS Word Images,Which option wraps text around an image?,Text Wrap,Line Spacing,Indent,Columns,A
MS Word Mail Merge,Mail Merge is used for?,Editing images,Creating charts,Bulk personalized documents,Spell check,C
MS Word Mail Merge,Which tab is used for Mail Merge?,Home,Mailings,References,Review,B
